Time - Plot 0,Amplitude - Plot 0
0,9787.98
0.5,9793.08
1,9777.78
1.5,9805.85
2,9775.24
2.5,9349.03
3,9117.71
3.5,8730.51
4,8502.5
4.5,8212.75
5,7892.23
5.5,7657.62
6,7702.42
6.5,7823.68
7,7955.01
7.5,8067
8,7788.57
8.5,7682.03
9,7514.59
9.5,7423.15
10,7106.69
10.5,7061.06
11,7080.04
11.5,7095.26
12,7015.67
12.5,7083.84
13,7245.04
13.5,7435.02
14,7606.99
14.5,7745.39
15,7877.64
15.5,7988.67
16,8092.55
16.5,8189.02
17,8275.63
17.5,8328
18,7532.59
18.5,5669.65
19,5190.54
19.5,5094.94
20,5091.98
20.5,5126.18
21,5187.53
21.5,5311.75
22,5473.8
22.5,5594.83
23,5687.26
23.5,5750.03
24,5826.34
24.5,5896.81
25,5974.56
25.5,6037.97
26,6096.83
26.5,6154.42
27,6207.29
27.5,6258.79
28,6331.43
28.5,6408.24
29,6462.78
29.5,6505.26
30,6549.75
30.5,6583.71
31,6632.23
31.5,6675.59
32,6724.64
32.5,6770.31
33,6838.37
33.5,6882.81
34,6940.57
34.5,6994.95
35,7042.12
35.5,7085.74
36,7129.59
36.5,7167.9
37,7206.39
37.5,7245.04
38,7293.61
38.5,7332.66
39,7367.96
39.5,7423.15
40,7460.8
40.5,7502.61
41,7530.59
41.5,7566.7
42,7619.12
42.5,7653.56
43,7700.37
43.5,7737.19
44,7784.45
44.5,7819.54
45,7850.62
45.5,7879.73
46,7921.47
46.5,7554.64
47,5342.35
47.5,4376.82
48,4150.21
48.5,4118.98
49,3739.88
49.5,3108.68
50,2370.33
50.5,2118.4
51,2074.55
51.5,2093.58
52,2129.89
52.5,2179.93
53,2246
53.5,2311.8
54,2379.31
54.5,2442.52
55,2501.29
55.5,2562.67
56,2619.47
56.5,2678.87
57,2734.62
57.5,2798.31
58,2859.42
58.5,2921.12
59,2977.92
59.5,3036.33
60,3101.97
